City,Cuisine,Name,PCC,Taste,Envir,Service
东莞,私房菜,乐家酒庄餐吧,29,7.8,7.7,7.7
东莞,小龙虾,食悦围城·龙虾馆,88,8.3,8.8,8.1
东莞,川菜,炭舍(汇一城店),65,8.2,8.7,8.4
东莞,川菜,探鱼(东城万达广场店)分店,83,8.2,8.6,8.1
东莞,川菜,鱼太·炭火烤鱼(汇一城店)分店,71,8.5,8.7,8.2
东莞,川菜,探鱼(汇一城店),72,8.1,8.1,7.7
东莞,川菜,鱼太·炭火烤鱼(星河城店)分店,67,8.3,8.9,8.4
东莞,川菜,叮叮码头(莱蒙商业中心店),50,8.2,8.5,8.3
东莞,川菜,缪氏川菜(万科城市广场店),57,7.6,8.6,8.2
东莞,川菜,辣宴,61,7.9,8.2,7.9
东莞,川菜,炭舍(厚街万达店),85,7.5,7.8,7.9
东莞,川菜,蜀八婆香汁焖锅(东城万达广场店),63,8.1,7.9,7.9
东莞,川菜,泰爺門,80,7.6,8,7.8
东莞,川菜,炭鱻烤鱼(万江华南摩尔店),58,8,8.3,8.3
东莞,川菜,愿者上钩(南城店),53,7.8,7.9,7.9
东莞,川菜,一品柠檬鱼分店,39,7.8,7.6,7.9
东莞,湘菜,饭菜真湘(鸿福店),61,8.9,8.8,8.8
东莞,湘菜,饭菜真湘(万江店)分店,38,8,7.9,7.7
东莞,湘菜,筷乐家宴(莱蒙商业中心店),48,8.4,8.5,8.4
东莞,湘菜,饭菜真湘(世纪广场店)分店,46,8.3,8.2,8.2
东莞,湘菜,彭厨(福威店)分店,58,7.9,7.9,7.9
东莞,湘菜,饭菜真湘(东泰店),39,8.2,8.4,8.3
东莞,湘菜,57度湘(万达虎门店),71,7.8,8.3,8.1
东莞,湘菜,俏九州(长安万科广场店),103,8.3,8.5,8
东莞,湘菜,湘辣头条(明丰广场店),56,7.7,7.8,7.8
东莞,湘菜,湘江鱼头王(美丽湾店),57,7.8,7.8,7.7
东莞,湘菜,筷乐湘村,57,7.6,7.8,7.8
东莞,素菜,祈康膳坊,347,7.9,9.1,8.8
东莞,素菜,禅莲素食文化馆,23,7.7,7.7,7.7
东莞,素菜,净一心素食,19,7.6,7.7,7.8
东莞,素菜,净一心素食餐厅,18,7.8,7.8,7.8
东莞,素菜,福缘素食,18,7.6,7.7,7.7
东莞,火锅,火汤港式牛肉火锅,117,8.3,7.9,8
东莞,火锅,麻辣英雄重庆老火锅(长安店),98,8.2,8.5,8.5
东莞,火锅,御鼎墨府重庆老火锅,97,7.5,8.3,8.1
东莞,火锅,一品柠檬鱼(东莞东纵大道店)分店,76,7.7,8,7.9
东莞,火锅,喜多柠檬鱼(大岭山店),64,8.6,8.7,8.7
东莞,火锅,麻辣城主重庆老火锅,60,7.9,7.9,7.9
东莞,火锅,溜溜龙虾串串荟,55,7.8,8,7.8
东莞,火锅,宝牛鲜活牛肉(东城十三碗店),96,7.5,8.3,7.6
东莞,火锅,润泽园之椰雨仙踪(星河城店)分店,77,8.2,8.4,8
东莞,火锅,潮邦汕头牛肉火锅(西平店),68,8.7,8.7,8.5
东莞,火锅,汕头八合里海记牛肉店(第一国际...,78,9.1,8.6,8.2
东莞,火锅,海底捞火锅(汇一城店)分店,117,8.2,8.8,9.1
东莞,火锅,海底捞火锅(东纵路盈峰广场店)分店,136,8.9,9.1,9.2
东莞,火锅,马家斑鱼音乐主题餐厅,93,8.7,8.6,8.5
东莞,火锅,润泽园椰子鸡(汇一城总店),89,8.6,8.7,8.2
东莞,火锅,汕头八合里海记牛肉店(南城店),78,8.7,7.9,7.7
东莞,火锅,紘鼎轻井泽台湾涮涮锅(虎门国际...,63,8.5,8.9,8.2
东莞,火锅,大龙燚火锅食府(南城店),112,7.8,8.4,7.9
